GPS纬度,GPS经度,谷歌地图纬度,谷歌地图经度,百度纬度,百度经度,地址,邮编,关键词
22.6084314407,114.1540648638,22.6057027924,114.1590859591,22.611456,114.165641,广东省深圳市罗湖区布沙路31,-,1樟树布村总站
0,0,0,0,0,0,-,-,2樟树布社区站
0,0,0,0,0,0,-,-,3南岭村站
0,0,0,0,0,0,-,-,4南湾街道办站
0,0,0,0,0,0,-,-,5南湾人民医院站
0,0,0,0,0,0,-,-,6百门前工业区站
22.6105283208,114.1319127502,22.6078442425,114.1370035829,22.614084,114.143465,广东省深圳市龙岗区布沙路224号,-,7大芬油画村站
0,0,0,0,0,0,-,-,8木棉湾地铁站2站
22.6053225339,114.1207247174,22.6026483601,114.1258316434,22.608978,114.132278,广东省深圳市龙岗区龙珠三路,-,9龙珠花园3站
22.5174357152,113.9134818318,22.5143881357,113.9183419945,22.5203,113.924848,广东省深圳市南山区南山路1019号,-,10深圳东站
22.5955389493,114.1145993949,22.5928645811,114.1197063209,22.599194,114.126158,广东省深圳市龙岗区荣华路267,-,11荣超花园2站
22.5902629933,114.1127292347,22.5875678933,114.1178262347,22.593925,114.124303,广东省深圳市罗湖区金稻田路,-,12草埔地铁站
22.5681316191,114.1146810689,22.5654200191,114.1197540689,22.571781,114.126227,广东省深圳市罗湖区芙蓉桥,-,13洪湖公园1站
0,0,0,0,0,0,-,-,14田贝2站
0,0,0,0,0,0,-,-,15儿童公园2站
22.5587146455,114.1122494837,22.5560162455,114.1173434837,22.562369,114.123799,广东省深圳市罗湖区笋岗东路2771号,-,16笋岗桥站
0,0,0,0,0,0,-,-,17桂园中学站
22.5595702069,114.1033915999,22.5568862069,114.1085075999,22.56314,114.114969,广东省深圳市罗湖区宝安北路30号,-,18帝豪酒店1站
22.5601806455,114.1040134837,22.5574822455,114.1091074837,22.563835,114.115563,广东省深圳市罗湖区宝安北路1004-2,-,19笋岗仓库站
0,0,0,0,0,0,-,-,20西湖宾馆站
22.7397763785,113.9023100793,22.7367683058,113.9071916996,22.742858,113.913679,广东省深圳市宝安区松白路,-,21红桂路口站
0,0,0,0,0,0,-,-,22少儿图书馆站
0,0,0,0,0,0,-,-,23妇儿医院站
22.5516601281,114.0830240374,22.5489699264,114.0881470565,22.55489,114.094663,广东省深圳市福田区红荔路2015-2,-,24群星广场站
22.5515411281,114.0784340373,22.5488509264,114.0835570566,22.554771,114.090073,广东省深圳市福田区红荔路3011-1号,-,25华新村站
22.546809292,113.9054340686,22.5437623745,113.9102942313,22.549676,113.916805,广东省深圳市南山区北环月亮湾天桥,-,26花卉世界2站
22.5528698447,114.0655644821,22.5501699299,114.0706821369,22.555938,114.07724,广东省深圳市福田区,-,27莲花二村2站
22.5521071298,114.0588801766,22.549392353,114.0639871026,22.555071,114.070565,广东省深圳市福田区红荔路6020,-,28关山月美术馆1站
22.5512447937,114.0537943601,22.5485298201,114.0589012861,22.554206,114.065469,广东省深圳市福田区红荔路,-,29中心书城北站
22.5562931298,114.0535081766,22.553578353,114.0586151026,22.559257,114.065193,广东省深圳市福田区莲峰西径,-,30莲花山公园2站
0,0,0,0,0,0,-,-,31莲花山西1站
22.5499341564,114.0390281258,22.5471745934,114.0441028653,22.552941,114.050656,广东省深圳市福田区红荔西路7022-5号,-,32鲁班大厦2站
0,0,0,0,0,0,-,-,33市政大厦站
22.5467571564,114.0364671258,22.5439975934,114.0415418653,22.549764,114.048095,广东省深圳市福田区香梅路1072-32号,-,34香蜜二村站
0,0,0,0,0,0,-,-,35香梅深南路口站
22.5496110914,114.0277052544,22.5468218021,114.0327585362,22.552746,114.039283,广东省深圳市福田区,-,36香蜜湖2站
0,0,0,0,0,0,-,-,37深南香蜜立交1站
22.5396442933,114.0174987472,22.5368250734,114.0225252069,22.542927,114.029012,广东省深圳市福田区深南大道7088号25层,-,38招商银行大厦2站
0,0,0,0,0,0,-,-,39竹子林2站
22.53757357,113.9877286024,22.5346651647,113.9926799602,22.541009,113.999119,广东省深圳市南山区深南大道9008号,-,40康佳集团1站
22.535807918,113.9766531548,22.532874739,113.981583055,22.539125,113.988037,广东省深圳市南山区深南大道9013号,-,41何香凝美术馆2站
22.5390095131,113.9690502478,22.5360466056,113.9739586903,22.542145,113.980442,广东省深圳市南山区深南大道9037号,-,42世界之窗2站
22.5359143452,113.9634592646,22.532926664,113.9683516138,22.538847,113.974866,广东省深圳市南山区白石街122,-,43白石洲2站
0,0,0,0,0,0,-,-,44大冲1站
22.5405069662,113.9407205173,22.5374846017,113.9455860445,22.543158,113.952145,广东省深圳市南山区高新南四道30-6,-,45高科技中心站
22.537063617,113.9462768258,22.5340561168,113.9511530818,22.539821,113.957697,广东省深圳市南山区高新南七道,-,46高新公寓站
22.539137617,113.9463488258,22.5361301168,113.9512250818,22.541895,113.957769,广东省深圳市南山区高新南四道9-北门,-,47科技园公交总站
