,卡片记录编码,交易金额,实际交易金额,交易时间,公司名称,线路名称,车牌号,经度,纬度,stop,站点,true_stop
745,291019708,2,1.6,2014-06-10 06:41:19,西部公共汽车,334路,粤BH1177,114.068763,22.658132,6,坂田街道二办,2
653,251286644,2,1.0,2014-06-10 06:47:30,西部公共汽车,334路,粤BH1177,114.055885,22.659,51,坂田华城百货,6
697,330655279,2,1.6,2014-06-10 06:53:52,西部公共汽车,334路,粤BH1177,114.062271,22.639245000000006,49,坂田路口西,12
957,328697739,5,3.9,2014-06-10 06:55:08,西部公共汽车,334路,粤BH1177,114.056236,22.636365,15,坂田市场,13
707,361139062,2,1.6,2014-06-10 06:55:17,西部公共汽车,334路,粤BH1177,114.056236,22.636365,15,坂田市场,13
961,329488268,3,2.4,2014-06-10 06:55:57,西部公共汽车,334路,粤BH1177,114.055946,22.636199,15,坂田市场,13
955,328640795,2,1.6,2014-06-10 06:56:04,西部公共汽车,334路,粤BH1177,114.055946,22.636199,15,坂田市场,13
767,294218091,2,1.6,2014-06-10 06:59:16,西部公共汽车,334路,粤BH1177,114.046081,22.63845,56,水斗新村,16
942,326915537,2,1.6,2014-06-10 07:01:35,西部公共汽车,334路,粤BH1177,114.04013799999998,22.640884,7,上油松村,17
963,329567401,2,1.6,2014-06-10 07:01:37,西部公共汽车,334路,粤BH1177,114.04013799999998,22.640884,7,上油松村,17
704,360798273,2,1.6,2014-06-10 07:01:58,西部公共汽车,334路,粤BH1177,114.038879,22.641435,7,上油松村,17
766,293987203,4,3.15,2014-06-10 07:02:17,西部公共汽车,334路,粤BH1177,114.036506,22.642135,60,牛栏前市场,18
923,324399020,2,1.6,2014-06-10 07:02:22,西部公共汽车,334路,粤BH1177,114.036506,22.642135,60,牛栏前市场,18
785,320798307,2,1.6,2014-06-10 07:02:23,西部公共汽车,334路,粤BH1177,114.036506,22.642135,60,牛栏前市场,18
637,20457491,2,1.6,2014-06-10 07:02:26,西部公共汽车,334路,粤BH1177,114.0401,22.640783,7,上油松村,17
796,322361118,2,1.6,2014-06-10 07:02:31,西部公共汽车,334路,粤BH1177,114.0401,22.640783,7,上油松村,17
793,322292378,2,1.6,2014-06-10 07:02:35,西部公共汽车,334路,粤BH1177,114.0401,22.640783,7,上油松村,17
948,328105915,2,1.6,2014-06-10 07:02:38,西部公共汽车,334路,粤BH1177,114.0401,22.640783,7,上油松村,17
662,290079026,2,1.6,2014-06-10 07:02:43,西部公共汽车,334路,粤BH1177,114.03511,22.642541,60,牛栏前市场,18
952,328232993,2,1.6,2014-06-10 07:02:47,西部公共汽车,334路,粤BH1177,114.03511,22.642541,60,牛栏前市场,18
760,292912672,2,1.6,2014-06-10 07:02:49,西部公共汽车,334路,粤BH1177,114.03511,22.642541,60,牛栏前市场,18
777,296130725,2,1.6,2014-06-10 07:02:53,西部公共汽车,334路,粤BH1177,114.03511,22.642541,60,牛栏前市场,18
654,251305475,2,1.0,2014-06-10 07:02:59,西部公共汽车,334路,粤BH1177,114.033683,22.642915,60,牛栏前市场,18
659,285069411,2,1.6,2014-06-10 07:03:10,西部公共汽车,334路,粤BH1177,114.033683,22.642915,60,牛栏前市场,18
768,294363833,2,1.6,2014-06-10 07:03:12,西部公共汽车,334路,粤BH1177,114.033683,22.642915,60,牛栏前市场,18
694,330219963,2,1.6,2014-06-10 07:03:14,西部公共汽车,334路,粤BH1177,114.033683,22.642915,60,牛栏前市场,18
787,320989832,2,1.6,2014-06-10 07:03:18,西部公共汽车,334路,粤BH1177,114.033683,22.642915,60,牛栏前市场,18
757,292687820,2,1.2,2014-06-10 07:03:22,西部公共汽车,334路,粤BH1177,114.033683,22.642915,60,牛栏前市场,18
764,293769606,2,1.6,2014-06-10 07:03:44,西部公共汽车,334路,粤BH1177,114.033683,22.642915,60,牛栏前市场,18
788,321158553,2,1.6,2014-06-10 07:03:46,西部公共汽车,334路,粤BH1177,114.033683,22.642915,60,牛栏前市场,18
936,326258290,2,1.6,2014-06-10 07:04:00,西部公共汽车,334路,粤BH1177,114.033683,22.642915,60,牛栏前市场,18
918,323328481,2,1.6,2014-06-10 07:06:52,西部公共汽车,334路,粤BH1177,114.031707,22.636735,35,牛栏前,20
701,360587318,2,1.2,2014-06-10 07:06:58,西部公共汽车,334路,粤BH1177,114.031707,22.636735,35,牛栏前,20
784,320734157,2,1.6,2014-06-10 07:07:30,西部公共汽车,334路,粤BH1177,114.032165,22.634634,35,牛栏前,20
962,329538833,3,2.4,2014-06-10 07:07:40,西部公共汽车,334路,粤BH1177,114.032165,22.634634,35,牛栏前,20
769,294393845,3,2.0,2014-06-10 07:10:16,西部公共汽车,334路,粤BH1177,114.032318,22.630617,30,沙吓,21
762,293531814,2,1.6,2014-06-10 07:10:23,西部公共汽车,334路,粤BH1177,114.032318,22.630617,30,沙吓,21
690,329815109,3,2.4,2014-06-10 07:11:45,西部公共汽车,334路,粤BH1177,114.033531,22.627168,30,沙吓,21
656,280791155,2,1.6,2014-06-10 07:11:54,西部公共汽车,334路,粤BH1177,114.033805,22.626443,30,沙吓,21
783,320655935,2,1.6,2014-06-10 07:12:11,西部公共汽车,334路,粤BH1177,114.03437,22.625833,30,沙吓,21
750,291298311,2,1.6,2014-06-10 07:12:13,西部公共汽车,334路,粤BH1177,114.034034,22.625665,30,沙吓,21
749,291298236,2,1.6,2014-06-10 07:12:21,西部公共汽车,334路,粤BH1177,114.034034,22.625665,30,沙吓,21
954,328329810,2,1.6,2014-06-10 07:12:23,西部公共汽车,334路,粤BH1177,114.034034,22.625665,30,沙吓,21
639,20639212,2,1.6,2014-06-10 07:12:26,西部公共汽车,334路,粤BH1177,114.034034,22.625665,30,沙吓,21
700,360131234,2,1.6,2014-06-10 07:12:47,西部公共汽车,334路,粤BH1177,114.03453,22.625699,3,沙元埔,23
932,325799766,2,1.6,2014-06-10 07:12:49,西部公共汽车,334路,粤BH1177,114.03453,22.625699,3,沙元埔,23
959,329230468,2,1.6,2014-06-10 07:12:57,西部公共汽车,334路,粤BH1177,114.034866,22.624,3,沙元埔,23
934,325939267,2,1.6,2014-06-10 07:12:58,西部公共汽车,334路,粤BH1177,114.034866,22.624,3,沙元埔,23
640,20680866,2,1.6,2014-06-10 07:13:00,西部公共汽车,334路,粤BH1177,114.034866,22.624,3,沙元埔,23
949,328108283,2,1.6,2014-06-10 07:13:02,西部公共汽车,334路,粤BH1177,114.034866,22.624,3,沙元埔,23
658,281102824,2,1.6,2014-06-10 07:13:05,西部公共汽车,334路,粤BH1177,114.034866,22.624,3,沙元埔,23
943,327227180,3,2.4,2014-06-10 07:14:57,西部公共汽车,334路,粤BH1177,114.036766,22.617782,48,民康路口,24
657,281033072,2,1.6,2014-06-10 07:15:01,西部公共汽车,334路,粤BH1177,114.03741399999998,22.6166,48,民康路口,24
795,322341439,2,1.6,2014-06-10 07:15:03,西部公共汽车,334路,粤BH1177,114.03741399999998,22.6166,48,民康路口,24
912,322908754,5,3.9,2014-06-10 07:15:12,西部公共汽车,334路,粤BH1177,114.037193,22.616832,48,民康路口,24
746,291050765,2,1.6,2014-06-10 07:15:14,西部公共汽车,334路,粤BH1177,114.037193,22.616832,48,民康路口,24
710,361320945,2,1.6,2014-06-10 07:15:19,西部公共汽车,334路,粤BH1177,114.037567,22.6166,48,民康路口,24
751,291421709,2,1.6,2014-06-10 07:15:22,西部公共汽车,334路,粤BH1177,114.037567,22.6166,48,民康路口,24
752,291527605,2,1.6,2014-06-10 07:15:32,西部公共汽车,334路,粤BH1177,114.037612,22.616567,48,民康路口,24
773,295161553,2,1.6,2014-06-10 07:15:37,西部公共汽车,334路,粤BH1177,114.037612,22.616567,48,民康路口,24
920,323714434,2,1.6,2014-06-10 07:15:40,西部公共汽车,334路,粤BH1177,114.037612,22.616567,48,民康路口,24
754,291638503,2,1.6,2014-06-10 07:15:43,西部公共汽车,334路,粤BH1177,114.037612,22.616567,48,民康路口,24
652,251078973,3,1.5,2014-06-10 07:15:47,西部公共汽车,334路,粤BH1177,114.037612,22.616567,48,民康路口,24
698,330681412,2,1.6,2014-06-10 07:15:50,西部公共汽车,334路,粤BH1177,114.03778,22.6163,48,民康路口,24
744,290889846,2,1.6,2014-06-10 07:17:00,西部公共汽车,334路,粤BH1177,114.040168,22.61185,46,横岭二区,25
790,321815183,2,1.6,2014-06-10 07:17:02,西部公共汽车,334路,粤BH1177,114.040168,22.61185,46,横岭二区,25
958,328876781,2,1.6,2014-06-10 07:17:05,西部公共汽车,334路,粤BH1177,114.040168,22.61185,46,横岭二区,25
937,326289799,2,1.6,2014-06-10 07:17:08,西部公共汽车,334路,粤BH1177,114.040168,22.61185,46,横岭二区,25
772,295026169,2,1.6,2014-06-10 07:17:13,西部公共汽车,334路,粤BH1177,114.040168,22.61185,46,横岭二区,25
956,328652613,2,1.6,2014-06-10 07:17:15,西部公共汽车,334路,粤BH1177,114.040168,22.61185,46,横岭二区,25
919,323433471,2,1.6,2014-06-10 07:17:17,西部公共汽车,334路,粤BH1177,114.040168,22.61185,46,横岭二区,25
799,322543058,2,1.6,2014-06-10 07:17:21,西部公共汽车,334路,粤BH1177,114.040168,22.61185,46,横岭二区,25
711,361343327,2,1.6,2014-06-10 07:17:25,西部公共汽车,334路,粤BH1177,114.040168,22.61185,46,横岭二区,25
703,360728869,2,1.6,2014-06-10 07:17:31,西部公共汽车,334路,粤BH1177,114.040328,22.611042,46,横岭二区,25
801,321834141,2,1.6,2014-06-10 07:19:32,西部公共汽车,334路,粤BH1177,114.038848,22.607599,29,惠鑫公寓,27
702,360669366,2,1.6,2014-06-10 07:19:38,西部公共汽车,334路,粤BH1177,114.039665,22.607999,29,惠鑫公寓,27
643,21045141,2,1.6,2014-06-10 07:19:40,西部公共汽车,334路,粤BH1177,114.039665,22.607999,29,惠鑫公寓,27
636,20231618,2,1.6,2014-06-10 07:20:08,西部公共汽车,334路,粤BH1177,114.039093,22.606424,29,惠鑫公寓,27
940,326784683,2,1.6,2014-06-10 07:20:22,西部公共汽车,334路,粤BH1177,114.03997,22.605484,29,惠鑫公寓,27
780,320318900,2,1.6,2014-06-10 07:20:30,西部公共汽车,334路,粤BH1177,114.03997,22.605484,29,惠鑫公寓,27
689,329697178,2,1.6,2014-06-10 07:20:34,西部公共汽车,334路,粤BH1177,114.03997,22.605484,29,惠鑫公寓,27
631,329596936,6,4.65,2014-06-10 07:20:41,西部公共汽车,334路,粤BH1177,114.03997,22.605484,29,惠鑫公寓,27
661,290066701,2,1.6,2014-06-10 07:20:44,西部公共汽车,334路,粤BH1177,114.03997,22.605484,29,惠鑫公寓,27
913,322909316,2,1.6,2014-06-10 07:20:45,西部公共汽车,334路,粤BH1177,114.03997,22.605484,29,惠鑫公寓,27
747,291144536,2,1.6,2014-06-10 07:20:49,西部公共汽车,334路,粤BH1177,114.03997,22.605484,29,惠鑫公寓,27
632,329685287,2,1.6,2014-06-10 07:21:32,西部公共汽车,334路,粤BH1177,114.04178600000002,22.603384,29,惠鑫公寓,27
914,322941715,4,3.15,2014-06-10 07:21:52,西部公共汽车,334路,粤BH1177,114.042098,22.603,29,惠鑫公寓,27
706,360930620,2,1.2,2014-06-10 07:26:11,西部公共汽车,334路,粤BH1177,114.049339,22.590616,9,民乐地铁站,28
926,325032024,2,1.2,2014-06-10 07:26:18,西部公共汽车,334路,粤BH1177,114.049339,22.590616,9,民乐地铁站,28
638,20569777,2,1.6,2014-06-10 07:26:20,西部公共汽车,334路,粤BH1177,114.05088,22.589082,9,民乐地铁站,28
789,321597322,2,1.6,2014-06-10 07:26:25,西部公共汽车,334路,粤BH1177,114.05088,22.589082,9,民乐地铁站,28
765,293949704,2,1.2,2014-06-10 07:26:47,西部公共汽车,334路,粤BH1177,114.05091000000002,22.589132,9,民乐地铁站,28
911,322816904,2,1.2,2014-06-10 07:26:50,西部公共汽车,334路,粤BH1177,114.051582,22.588611,9,民乐地铁站,28
935,326211162,2,1.6,2014-06-10 07:26:53,西部公共汽车,334路,粤BH1177,114.051582,22.588611,9,民乐地铁站,28
649,23437661,4,3.15,2014-06-10 07:27:02,西部公共汽车,334路,粤BH1177,114.053199,22.585283,59,中康公园,31
933,325920689,3,2.4,2014-06-10 07:27:22,西部公共汽车,334路,粤BH1177,114.053131,22.585163,59,中康公园,31
947,327519794,3,2.4,2014-06-10 07:33:23,西部公共汽车,334路,粤BH1177,114.057197,22.571184,58,凯丰花园,29
713,662203273,2,1.6,2014-06-10 07:33:42,西部公共汽车,334路,粤BH1177,114.056625,22.571355,58,凯丰花园,29
779,320023043,2,1.6,2014-06-10 07:33:49,西部公共汽车,334路,粤BH1177,114.056625,22.571355,58,凯丰花园,29
696,330617222,2,1.6,2014-06-10 07:34:29,西部公共汽车,334路,粤BH1177,114.054313,22.571382,59,中康公园,31
953,328290880,3,2.4,2014-06-10 07:35:42,西部公共汽车,334路,粤BH1177,114.050178,22.571012,13,梅林阁,32
939,326651983,2,1.2,2014-06-10 07:35:45,西部公共汽车,334路,粤BH1177,114.050178,22.571012,13,梅林阁,32
699,330691787,3,2.4,2014-06-10 07:35:54,西部公共汽车,334路,粤BH1177,114.047668,22.571332,68,梅林三村,33
759,292764538,2,1.6,2014-06-10 07:36:06,西部公共汽车,334路,粤BH1177,114.047668,22.571332,68,梅林三村,33
921,323776506,2,1.6,2014-06-10 07:36:34,西部公共汽车,334路,粤BH1177,114.0456,22.571332,68,梅林三村,33
951,328198314,4,3.15,2014-06-10 07:36:40,西部公共汽车,334路,粤BH1177,114.0456,22.571332,68,梅林三村,33
663,290231480,2,1.6,2014-06-10 07:36:43,西部公共汽车,334路,粤BH1177,114.0456,22.571332,68,梅林三村,33
651,80407092,3,2.4,2014-06-10 07:36:47,西部公共汽车,334路,粤BH1177,114.045616,22.571416,68,梅林三村,33
930,325381829,3,2.4,2014-06-10 07:39:56,西部公共汽车,334路,粤BH1177,114.038703,22.569416,25,梅林二村,34
931,325589610,3,2.4,2014-06-10 07:40:05,西部公共汽车,334路,粤BH1177,114.038703,22.569416,25,梅林二村,34
755,292189689,4,3.15,2014-06-10 07:47:13,西部公共汽车,334路,粤BH1177,114.032997,22.56525,50,福田农批市场,36
761,292991236,2,1.6,2014-06-10 07:47:18,西部公共汽车,334路,粤BH1177,114.032997,22.56525,50,福田农批市场,36
646,23249445,2,1.6,2014-06-10 07:47:31,西部公共汽车,334路,粤BH1177,114.032997,22.565032,50,福田农批市场,36
633,20053425,2,1.2,2014-06-10 07:50:37,西部公共汽车,334路,粤BH1177,114.026283,22.561582,34,北环香梅北天桥,38
648,23363265,3,2.4,2014-06-10 07:52:17,西部公共汽车,334路,粤BH1177,114.016746,22.56055,22,北环香蜜立交,39
