,卡片记录编码,交易金额,实际交易金额,交易时间,公司名称,线路名称,车牌号,经度,纬度,stop,站点,true_stop
11663,328712774,2,1.6,2014-06-10 12:28:01,西部公共汽车,334路,粤BH1177,114.071044,22.655591,26,雪象新村,1
10188,23250992,3,2.4,2014-06-10 12:30:07,西部公共汽车,334路,粤BH1177,114.065513,22.661201,6,坂田街道二办,2
10916,330115309,2,1.6,2014-06-10 12:32:51,西部公共汽车,334路,粤BH1177,114.057563,22.663566,67,岗头市场,4
11639,325333023,2,1.6,2014-06-10 12:32:54,西部公共汽车,334路,粤BH1177,114.057563,22.663566,67,岗头市场,4
10912,329862493,6,4.65,2014-06-10 12:35:13,西部公共汽车,334路,粤BH1177,114.055847,22.659282,51,坂田华城百货,6
11455,280266317,2,1.6,2014-06-10 12:38:56,西部公共汽车,334路,粤BH1177,114.06153799999998,22.651796,52,万科城实验学校,9
10921,360089800,2,1.6,2014-06-10 12:41:20,西部公共汽车,334路,粤BH1177,114.06105,22.648149,52,万科城实验学校,9
11652,326871540,3,2.0,2014-06-10 12:43:46,西部公共汽车,334路,粤BH1177,114.061546,22.638849,49,坂田路口西,12
11665,329402148,5,3.5,2014-06-10 12:43:54,西部公共汽车,334路,粤BH1177,114.059532,22.638416,15,坂田市场,13
10911,329823366,2,1.6,2014-06-10 12:44:54,西部公共汽车,334路,粤BH1177,114.058334,22.637716,15,坂田市场,13
11648,326691117,2,1.6,2014-06-10 12:50:22,西部公共汽车,334路,粤BH1177,114.042716,22.639383,56,水斗新村,16
11637,325274606,2,1.6,2014-06-10 12:50:25,西部公共汽车,334路,粤BH1177,114.042068,22.639734,56,水斗新村,16
10190,23531273,4,3.15,2014-06-10 12:51:21,西部公共汽车,334路,粤BH1177,114.04,22.640933,7,上油松村,17
11515,322977614,2,1.6,2014-06-10 12:52:49,西部公共汽车,334路,粤BH1177,114.035682,22.642522,60,牛栏前市场,18
10933,361320817,2,1.6,2014-06-10 12:52:57,西部公共汽车,334路,粤BH1177,114.034942,22.642696,60,牛栏前市场,18
10938,660024424,5,3.9,2014-06-10 12:55:25,西部公共汽车,334路,粤BH1177,114.031784,22.635076,35,牛栏前,20
11499,321594084,2,1.6,2014-06-10 12:55:35,西部公共汽车,334路,粤BH1177,114.031784,22.635076,35,牛栏前,20
11502,321750216,2,1.2,2014-06-10 12:58:21,西部公共汽车,334路,粤BH1177,114.031921,22.631505,30,沙吓,21
10189,23530208,5,3.9,2014-06-10 13:01:46,西部公共汽车,334路,粤BH1177,114.034111,22.625635,3,沙元埔,23
11485,294280079,2,1.6,2014-06-10 13:01:50,西部公共汽车,334路,粤BH1177,114.034294,22.624759,3,沙元埔,23
11498,321028720,2,1.6,2014-06-10 13:01:58,西部公共汽车,334路,粤BH1177,114.034294,22.624759,3,沙元埔,23
11496,320919313,2,1.6,2014-06-10 13:05:30,西部公共汽车,334路,粤BH1177,114.037498,22.616266,48,民康路口,24
11654,327157417,2,1.6,2014-06-10 13:05:49,西部公共汽车,334路,粤BH1177,114.038101,22.61515,48,民康路口,24
11488,294343351,2,1.2,2014-06-10 13:14:28,西部公共汽车,334路,粤BH1177,114.045379,22.596639,9,民乐地铁站,28
11641,325618582,2,1.2,2014-06-10 13:15:15,西部公共汽车,334路,粤BH1177,114.04811,22.592786,9,民乐地铁站,28
11507,322227850,2,1.6,2014-06-10 13:20:03,西部公共汽车,334路,粤BH1177,114.059249,22.571132,58,凯丰花园,29
11474,292300330,3,2.4,2014-06-10 13:20:10,西部公共汽车,334路,粤BH1177,114.057762,22.571182,58,凯丰花园,29
11464,290559253,2,1.6,2014-06-10 13:20:24,西部公共汽车,334路,粤BH1177,114.057762,22.571182,58,凯丰花园,29
10194,50564738,2,1.0,2014-06-10 13:23:42,西部公共汽车,334路,粤BH1177,114.052528,22.571239,59,中康公园,31
10937,660010666,2,1.6,2014-06-10 13:23:50,西部公共汽车,334路,粤BH1177,114.052528,22.571239,59,中康公园,31
10917,330345565,3,2.4,2014-06-10 13:24:43,西部公共汽车,334路,粤BH1177,114.049026,22.571081,13,梅林阁,32
11506,322158809,4,3.15,2014-06-10 13:24:59,西部公共汽车,334路,粤BH1177,114.047828,22.571355,68,梅林三村,33
10193,50438033,2,1.0,2014-06-10 13:27:13,西部公共汽车,334路,粤BH1177,114.040794,22.570308,25,梅林二村,34
11475,292619428,2,1.6,2014-06-10 13:34:40,西部公共汽车,334路,粤BH1177,114.030174,22.562267,69,深圳石油大厦,66
10923,360358200,2,1.6,2014-06-10 13:44:39,西部公共汽车,334路,粤BH1177,113.975738,22.563812,8,桃源村,43
11516,323291693,2,1.6,2014-06-10 13:50:03,西部公共汽车,334路,粤BH1177,113.962455,22.570047,12,新屋村,45
11659,327431258,2,1.2,2014-06-10 13:50:09,西部公共汽车,334路,粤BH1177,113.962455,22.570047,12,新屋村,45
11658,327392094,2,1.6,2014-06-10 13:56:40,西部公共汽车,334路,粤BH1177,113.950424,22.570121,28,龙辉花园,46
10186,23027896,2,1.6,2014-06-10 14:01:29,西部公共汽车,334路,粤BH1177,113.946861,22.559072,40,松坪村,49
11640,325441145,2,1.6,2014-06-10 14:01:32,西部公共汽车,334路,粤BH1177,113.946861,22.559072,40,松坪村,49
10182,20940339,2,1.6,2014-06-10 14:01:36,西部公共汽车,334路,粤BH1177,113.946861,22.559072,40,松坪村,49
11476,292649391,2,1.6,2014-06-10 14:02:46,西部公共汽车,334路,粤BH1177,113.944396,22.558828,66,朗山路中,50
11484,294180312,2,1.6,2014-06-10 14:02:51,西部公共汽车,334路,粤BH1177,113.942428,22.559284,33,孙逸仙心血管医院,51
