,卡片记录编码,交易金额,实际交易金额,交易时间,公司名称,线路名称,车牌号,lab1,lab,纬度,经度,angle,站点标号
127,291019708,2,1.6,2014-06-10 06:41:19,西部公共汽车,334路,粤BH1177,401,401.0,22.6567,114.069252,-0.2979117110420948,62
89,251286644,2,1.0,2014-06-10 06:47:30,西部公共汽车,334路,粤BH1177,407,407.0,22.660816,114.055847,-1.2823234828116834,57
108,330655279,2,1.6,2014-06-10 06:53:52,西部公共汽车,334路,粤BH1177,413,413.0,22.642383,114.06131699999999,0.9670138409826344,52
255,329488268,3,2.4,2014-06-10 06:55:57,西部公共汽车,334路,粤BH1177,415,415.0,22.637449,114.057914,0.0,51
118,361139062,2,1.6,2014-06-10 06:55:17,西部公共汽车,334路,粤BH1177,415,415.0,22.637449,114.057914,0.0,51
251,328697739,5,3.9,2014-06-10 06:55:08,西部公共汽车,334路,粤BH1177,415,415.0,22.637449,114.057914,0.5658738983028794,51
249,328640795,2,1.6,2014-06-10 06:56:04,西部公共汽车,334路,粤BH1177,416,416.0,22.636198999999998,114.05594599999999,-0.2260918579949373,51
149,294218091,2,1.6,2014-06-10 06:59:16,西部公共汽车,334路,粤BH1177,419,419.0,22.638433,114.04623400000001,-0.34632881962594625,48
257,329567401,2,1.6,2014-06-10 07:01:37,西部公共汽车,334路,粤BH1177,421,421.0,22.640333,114.04096899999999,0.0,47
115,360798273,2,1.6,2014-06-10 07:01:58,西部公共汽车,334路,粤BH1177,421,421.0,22.640333,114.04096899999999,0.0,47
236,326915537,2,1.6,2014-06-10 07:01:35,西部公共汽车,334路,粤BH1177,421,421.0,22.640333,114.04096899999999,-0.48522699257217294,47
242,328105915,2,1.6,2014-06-10 07:02:38,西部公共汽车,334路,粤BH1177,422,422.0,22.641435,114.03887900000001,0.0,47
98,290079026,2,1.6,2014-06-10 07:02:43,西部公共汽车,334路,粤BH1177,422,422.0,22.641435,114.03887900000001,0.0,47
217,324399020,2,1.6,2014-06-10 07:02:22,西部公共汽车,334路,粤BH1177,422,422.0,22.641435,114.03887900000001,0.0,47
246,328232993,2,1.6,2014-06-10 07:02:47,西部公共汽车,334路,粤BH1177,422,422.0,22.641435,114.03887900000001,0.0,47
142,292912672,2,1.6,2014-06-10 07:02:49,西部公共汽车,334路,粤BH1177,422,422.0,22.641435,114.03887900000001,0.0,47
90,251305475,2,1.0,2014-06-10 07:02:59,西部公共汽车,334路,粤BH1177,422,422.0,22.641435,114.03887900000001,0.0,47
178,322361118,2,1.6,2014-06-10 07:02:31,西部公共汽车,334路,粤BH1177,422,422.0,22.641435,114.03887900000001,0.0,47
159,296130725,2,1.6,2014-06-10 07:02:53,西部公共汽车,334路,粤BH1177,422,422.0,22.641435,114.03887900000001,0.0,47
148,293987203,4,3.15,2014-06-10 07:02:17,西部公共汽车,334路,粤BH1177,422,422.0,22.641435,114.03887900000001,0.0,47
73,20457491,2,1.6,2014-06-10 07:02:26,西部公共汽车,334路,粤BH1177,422,422.0,22.641435,114.03887900000001,0.0,47
167,320798307,2,1.6,2014-06-10 07:02:23,西部公共汽车,334路,粤BH1177,422,422.0,22.641435,114.03887900000001,0.0,47
175,322292378,2,1.6,2014-06-10 07:02:35,西部公共汽车,334路,粤BH1177,422,422.0,22.641435,114.03887900000001,-0.2774860722829861,47
169,320989832,2,1.6,2014-06-10 07:03:18,西部公共汽车,334路,粤BH1177,423,423.0,22.642915,114.03368300000001,0.0,46
139,292687820,2,1.2,2014-06-10 07:03:22,西部公共汽车,334路,粤BH1177,423,423.0,22.642915,114.03368300000001,0.0,46
95,285069411,2,1.6,2014-06-10 07:03:10,西部公共汽车,334路,粤BH1177,423,423.0,22.642915,114.03368300000001,0.0,46
150,294363833,2,1.6,2014-06-10 07:03:12,西部公共汽车,334路,粤BH1177,423,423.0,22.642915,114.03368300000001,0.0,46
146,293769606,2,1.6,2014-06-10 07:03:44,西部公共汽车,334路,粤BH1177,423,423.0,22.642915,114.03368300000001,0.0,46
170,321158553,2,1.6,2014-06-10 07:03:46,西部公共汽车,334路,粤BH1177,423,423.0,22.642915,114.03368300000001,0.0,46
105,330219963,2,1.6,2014-06-10 07:03:14,西部公共汽车,334路,粤BH1177,423,423.0,22.642915,114.03368300000001,0.0,46
230,326258290,2,1.6,2014-06-10 07:04:00,西部公共汽车,334路,粤BH1177,424,424.0,22.642915,114.03368300000001,1.190972362280764,46
112,360587318,2,1.2,2014-06-10 07:06:58,西部公共汽车,334路,粤BH1177,426,426.0,22.638366,114.03186699999999,0.0,44
212,323328481,2,1.6,2014-06-10 07:06:52,西部公共汽车,334路,粤BH1177,426,426.0,22.638366,114.03186699999999,1.473009882172251,44
256,329538833,3,2.4,2014-06-10 07:07:40,西部公共汽车,334路,粤BH1177,427,427.0,22.636735,114.03170700000001,0.0,44
166,320734157,2,1.6,2014-06-10 07:07:30,西部公共汽车,334路,粤BH1177,427,427.0,22.636735,114.03170700000001,-1.481477440670792,44
144,293531814,2,1.6,2014-06-10 07:10:23,西部公共汽车,334路,粤BH1177,430,430.0,22.630682999999998,114.032249,0.0,43
151,294393845,3,2.0,2014-06-10 07:10:16,西部公共汽车,334路,粤BH1177,430,430.0,22.630682999999998,114.032249,-1.2583416533646012,43
101,329815109,3,2.4,2014-06-10 07:11:45,西部公共汽车,334路,粤BH1177,431,431.0,22.62955,114.03261499999999,0.0,43
92,280791155,2,1.6,2014-06-10 07:11:54,西部公共汽车,334路,粤BH1177,431,431.0,22.62955,114.03261499999999,-1.129671842804281,43
253,329230468,2,1.6,2014-06-10 07:12:57,西部公共汽车,334路,粤BH1177,432,432.0,22.625833,114.03437,0.0,43
248,328329810,2,1.6,2014-06-10 07:12:23,西部公共汽车,334路,粤BH1177,432,432.0,22.625833,114.03437,0.0,43
132,291298311,2,1.6,2014-06-10 07:12:13,西部公共汽车,334路,粤BH1177,432,432.0,22.625833,114.03437,0.0,43
228,325939267,2,1.6,2014-06-10 07:12:58,西部公共汽车,334路,粤BH1177,432,432.0,22.625833,114.03437,0.0,43
131,291298236,2,1.6,2014-06-10 07:12:21,西部公共汽车,334路,粤BH1177,432,432.0,22.625833,114.03437,0.0,43
165,320655935,2,1.6,2014-06-10 07:12:11,西部公共汽车,334路,粤BH1177,432,432.0,22.625833,114.03437,0.0,43
75,20639212,2,1.6,2014-06-10 07:12:26,西部公共汽车,334路,粤BH1177,432,432.0,22.625833,114.03437,0.0,43
226,325799766,2,1.6,2014-06-10 07:12:49,西部公共汽车,334路,粤BH1177,432,432.0,22.625833,114.03437,0.0,43
111,360131234,2,1.6,2014-06-10 07:12:47,西部公共汽车,334路,粤BH1177,432,432.0,22.625833,114.03437,-1.306530326485873,43
76,20680866,2,1.6,2014-06-10 07:13:00,西部公共汽车,334路,粤BH1177,433,433.0,22.624000000000002,114.034866,0.0,41
243,328108283,2,1.6,2014-06-10 07:13:02,西部公共汽车,334路,粤BH1177,433,433.0,22.624000000000002,114.034866,0.0,41
94,281102824,2,1.6,2014-06-10 07:13:05,西部公共汽车,334路,粤BH1177,433,433.0,22.624000000000002,114.034866,-1.3321870042864505,41
237,327227180,3,2.4,2014-06-10 07:14:57,西部公共汽车,334路,粤BH1177,434,434.0,22.62215,114.035316,-1.2093823518370237,41
177,322341439,2,1.6,2014-06-10 07:15:03,西部公共汽车,334路,粤BH1177,435,435.0,22.6166,114.03741399999998,0.0,40
134,291527605,2,1.6,2014-06-10 07:15:32,西部公共汽车,334路,粤BH1177,435,435.0,22.6166,114.03741399999998,0.0,40
88,251078973,3,1.5,2014-06-10 07:15:47,西部公共汽车,334路,粤BH1177,435,435.0,22.6166,114.03741399999998,0.0,40
136,291638503,2,1.6,2014-06-10 07:15:43,西部公共汽车,334路,粤BH1177,435,435.0,22.6166,114.03741399999998,0.0,40
109,330681412,2,1.6,2014-06-10 07:15:50,西部公共汽车,334路,粤BH1177,435,435.0,22.6166,114.03741399999998,0.0,40
206,322908754,5,3.9,2014-06-10 07:15:12,西部公共汽车,334路,粤BH1177,435,435.0,22.6166,114.03741399999998,0.0,40
93,281033072,2,1.6,2014-06-10 07:15:01,西部公共汽车,334路,粤BH1177,435,435.0,22.6166,114.03741399999998,0.0,40
214,323714434,2,1.6,2014-06-10 07:15:40,西部公共汽车,334路,粤BH1177,435,435.0,22.6166,114.03741399999998,0.0,40
121,361320945,2,1.6,2014-06-10 07:15:19,西部公共汽车,334路,粤BH1177,435,435.0,22.6166,114.03741399999998,0.0,40
