,卡片记录编码,交易金额,实际交易金额,交易时间,公司名称,线路名称,车牌号,lab1,lab,纬度,经度,angle,站点标号
59,292361464,2,1.6,2014-06-10 08:18:36,西部公共汽车,334路,粤BH1177,498,498.0,22.569032,113.95093500000002,0.0,17
18,326161031,2,1.6,2014-06-10 08:18:39,西部公共汽车,334路,粤BH1177,498,498.0,22.569032,113.95093500000002,0.0,17
40,294499483,2,1.6,2014-06-10 08:18:43,西部公共汽车,334路,粤BH1177,498,498.0,22.569032,113.95093500000002,0.0,17
43,295509315,2,1.6,2014-06-10 08:18:45,西部公共汽车,334路,粤BH1177,498,498.0,22.569032,113.95093500000002,-1.1361340934523418,17
13,323848010,2,1.6,2014-06-10 08:19:55,西部公共汽车,334路,粤BH1177,499,499.0,22.565351,113.95264399999999,0.0,15
21,326782194,2,1.6,2014-06-10 08:19:20,西部公共汽车,334路,粤BH1177,499,499.0,22.565351,113.95264399999999,0.0,15
35,660261706,2,1.6,2014-06-10 08:19:58,西部公共汽车,334路,粤BH1177,499,499.0,22.565351,113.95264399999999,0.0,15
31,360767033,2,1.6,2014-06-10 08:19:10,西部公共汽车,334路,粤BH1177,499,499.0,22.565351,113.95264399999999,0.06532520649890884,15
62,292789015,2,1.6,2014-06-10 08:20:26,西部公共汽车,334路,粤BH1177,500,500.0,22.565082,113.948532,1.2744137122321915,15
38,294251887,2,1.2,2014-06-10 08:29:59,西部公共汽车,334路,粤BH1177,509,509.0,22.559632999999998,113.946868,-1.405917482071013,14
0,321265119,2,1.6,2014-06-10 08:30:11,西部公共汽车,334路,粤BH1177,510,510.0,22.559032000000002,113.946968,0.0,14
37,700091530,2,1.6,2014-06-10 08:30:36,西部公共汽车,334路,粤BH1177,510,510.0,22.559032000000002,113.946968,0.0,14
58,291919501,2,1.6,2014-06-10 08:30:39,西部公共汽车,334路,粤BH1177,510,510.0,22.559032000000002,113.946968,0.0,14
60,292498589,2,1.6,2014-06-10 08:30:34,西部公共汽车,334路,粤BH1177,510,510.0,22.559032000000002,113.946968,0.08853797680535412,14
63,293034864,2,1.6,2014-06-10 08:31:56,西部公共汽车,334路,粤BH1177,511,511.0,22.558866000000002,113.945098,-0.24302080622108888,13
26,329848995,2,1.6,2014-06-10 08:32:54,西部公共汽车,334路,粤BH1177,512,512.0,22.559492000000002,113.942573,0.9141140830023066,12
55,180103742,2,1.6,2014-06-10 08:34:04,西部公共汽车,334路,粤BH1177,514,514.0,22.5568,113.940498,1.5670132426975254,11
46,320409801,2,1.2,2014-06-10 08:37:09,西部公共汽车,334路,粤BH1177,517,517.0,22.552835,113.940483,1.5658522570224171,10
16,325712914,2,1.6,2014-06-10 08:39:21,西部公共汽车,334路,粤BH1177,519,519.0,22.548182999999998,113.94046000000002,-0.519746066179595,10
41,294545525,2,1.6,2014-06-10 08:42:49,西部公共汽车,334路,粤BH1177,522,522.0,22.545616,113.944946,0.0,7
4,322296938,2,1.6,2014-06-10 08:42:53,西部公共汽车,334路,粤BH1177,522,522.0,22.545616,113.944946,0.0,7
52,23060094,2,1.6,2014-06-10 08:42:43,西部公共汽车,334路,粤BH1177,522,522.0,22.545616,113.944946,0.0,7
10,323422739,2,1.6,2014-06-10 08:42:56,西部公共汽车,334路,粤BH1177,522,522.0,22.545616,113.944946,1.390417678257167,7
42,294803316,2,1.6,2014-06-10 08:43:02,西部公共汽车,334路,粤BH1177,523,523.0,22.5426,113.944396,0.0,5
49,20424855,2,1.6,2014-06-10 08:43:05,西部公共汽车,334路,粤BH1177,523,523.0,22.5426,113.944396,1.4501726582163528,5
48,320824631,2,1.2,2014-06-10 08:47:24,西部公共汽车,334路,粤BH1177,527,527.0,22.539333,113.944,0.0,5
11,323453939,2,1.2,2014-06-10 08:47:26,西部公共汽车,334路,粤BH1177,527,527.0,22.539333,113.944,0.6410396212048919,5
29,360168334,2,1.6,2014-06-10 08:54:26,西部公共汽车,334路,粤BH1177,534,534.0,22.529712,113.931106,0.0,3
1,321990578,2,1.6,2014-06-10 08:54:22,西部公共汽车,334路,粤BH1177,534,534.0,22.529712,113.931106,1.1986910520861929,3
12,323588830,2,1.6,2014-06-10 08:56:45,西部公共汽车,334路,粤BH1177,536,536.0,22.521248999999997,113.927803,-1.5200193830360598,3
