,0
0,27
1,182
2,114
3,42
4,117
5,60
6,167
7,5
8,134
9,165
10,0
11,72
12,77
13,226
14,0
15,117
16,131
17,356
18,365
19,126
20,313
21,533
22,0
23,360
24,511
25,104
26,44
27,364
28,303
29,253
30,0
31,241
32,79
33,64
34,226
35,6
36,100
37,83
38,155
39,48
40,21
41,32
42,104
43,173
44,112
45,223
46,267
47,0
48,127
49,98
50,119
51,141
52,156
53,156
54,194
55,0
56,138
57,21
58,193
59,41
60,80
61,0
62,0
63,0
64,843
65,202
66,78
67,115
68,0
69,73
70,4
